ID,Category,FileMaker Behavior,FMWeb Status,Gap Description,Complexity,Risk,Suggested Approach,Acceptance Criteria,Test Strategy,Evidence
LM-002,Layout Mode / Selection,Grouped objects move and resize as a unit while preserving child relative geometry.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/layout-model.ts, src/lib/layout-model.ts and align behavior with expected FileMaker semantics.",Grouped objects move and resize as a unit while preserving child relative geometry.,Group/un-group roundtrip tests must preserve child bounds and z-order.,src/lib/layout-model.ts:1; src/lib/layout-model.ts:213; src/lib/layout-model.ts:214; src/lib/layout-model.ts:216; src/lib/layout-model.ts:268; src/lib/layout-model.ts:269
LM-003,Layout Mode / Arrange,Arrange commands deterministically change object stacking order.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/layout-arrange.ts, src/lib/layout-arrange.ts and align behavior with expected FileMaker semantics.",Arrange commands deterministically change object stacking order.,Z-order point-hit tests across overlapping object fixtures.,src/lib/layout-arrange.ts:1; src/lib/layout-arrange.ts:16; src/lib/layout-arrange.ts:20; src/lib/layout-arrange.ts:21; src/lib/layout-arrange.ts:22; src/lib/layout-arrange.ts:27
LM-004,Layout Mode / Arrange,Align/distribute uses selected object boundary math similar to FileMaker.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/globals.css, app/globals.css and align behavior with expected FileMaker semantics.",Align/distribute uses selected object boundary math similar to FileMaker.,Unit tests for left/right/top/bottom/center align and distribute spacing on mixed selections.,app/globals.css:278; app/globals.css:285; app/globals.css:319; app/globals.css:457; app/globals.css:518; src/lib/layout-arrange.ts:1
LM-005,Layout Mode / Guides,Rulers and guides are visually aligned to canvas coordinates and snapping toggles.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/globals.css, app/globals.css and align behavior with expected FileMaker semantics.",Rulers and guides are visually aligned to canvas coordinates and snapping toggles.,Visual regressions at different zoom levels for ruler ticks and guide intersections.,app/globals.css:1; app/globals.css:209; app/globals.css:253; app/globals.css:255; app/globals.css:256; app/globals.css:260
LM-006,Layout Mode / Canvas,Canvas can be locked in Layout Mode while autosize anchor metadata remains editable.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/layout-model.ts, src/lib/layout-model.ts and align behavior with expected FileMaker semantics.",Canvas can be locked in Layout Mode while autosize anchor metadata remains editable.,Mutation commands should no-op when canvas locked; anchor props still persist.,src/lib/layout-model.ts:1; src/lib/layout-model.ts:145; src/lib/layout-model.ts:146; src/lib/layout-model.ts:147; src/lib/layout-model.ts:148; src/lib/layout-model.ts:214
LM-007,Layout Mode / Layout Parts,Header/body/footer and summary parts resize with expected object repositioning semantics.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/layout-model.ts, src/lib/layout-model.ts and align behavior with expected FileMaker semantics.",Header/body/footer and summary parts resize with expected object repositioning semantics.,Part resize tests verify object y-offset transforms for adjacent parts.,src/lib/layout-model.ts:1; src/lib/layout-model.ts:99; src/lib/layout-model.ts:315; src/lib/layout-model.ts:316; src/lib/layout-model.ts:318; src/lib/layout-model.ts:319
LM-008,Layout Mode / Palette,Dragging fields onto layout can create field+label patterns with consistent placement modes.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/diagnostics/parity/page.tsx, app/diagnostics/parity/page.tsx and align behavior with expected FileMaker semantics.",Dragging fields onto layout can create field+label patterns with consistent placement modes.,Drag field placement snapshot tests for side-by-side and stacked modes.,app/diagnostics/parity/page.tsx:149; app/diagnostics/parity/page.tsx:162; app/globals.css:725; app/globals.css:733; src/lib/layout-utils.ts:1; src/lib/layout-utils.ts:15
LM-009,Layout Mode / Inspector,Inspector edits x/y/width/height and z values directly with immediate visual update.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/layout-model.ts, src/lib/layout-model.ts and align behavior with expected FileMaker semantics.",Inspector edits x/y/width/height and z values directly with immediate visual update.,Inspector value updates should mutate selected object and persist to layout JSON.,src/lib/layout-model.ts:1; src/lib/layout-model.ts:13; src/lib/layout-model.ts:16; src/lib/layout-model.ts:17; src/lib/layout-model.ts:33; src/lib/layout-model.ts:54
LM-010,Layout Mode / Inspector,"Font, size, color, alignment, borders, fills, shadows map to object styles.",Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/layout-fidelity/style-resolver.ts, src/lib/layout-fidelity/style-resolver.ts and align behavior with expected FileMaker semantics.","Font, size, color, alignment, borders, fills, shadows map to object styles.",Style field changes must persist and map to runtime style resolver output.,src/lib/layout-fidelity/style-resolver.ts:1; src/lib/layout-fidelity/style-resolver.ts:6; src/lib/layout-fidelity/style-resolver.ts:7; src/lib/layout-fidelity/style-resolver.ts:9; src/lib/layout-fidelity/style-resolver.ts:12; src/lib/layout-fidelity/style-resolver.ts:14
LM-011,Layout Mode / Inspector,Developers can define conditional style and visibility rules at object level.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/globals.css, app/globals.css and align behavior with expected FileMaker semantics.",Developers can define conditional style and visibility rules at object level.,Rule save + runtime eval tests for hideObjectWhen and conditional formatting outputs.,app/globals.css:5175; app/globals.css:5182; app/globals.css:5183; app/globals.css:5184; src/lib/fmcalc/index.ts:1; src/lib/fmcalc/index.ts:1418
LM-012,Layout Mode / Objects,Field objects support control types and display options matching inspector settings.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/api/admin/metrics/route.ts, app/api/fm/records/route.ts and align behavior with expected FileMaker semantics.",Field objects support control types and display options matching inspector settings.,Render each control type in layout and browse mode and assert visual affordances.,app/api/admin/metrics/route.ts:16; app/api/fm/records/route.ts:8; app/api/fm/records/route.ts:200; app/api/fm/records/route.ts:211; app/api/fm/records/route.ts:227; app/api/fm/records/route.ts:232
LM-013,Layout Mode / Objects,Buttons support script/layout actions; button bars support segment configuration.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/layout-model.ts, src/lib/layout-model.ts and align behavior with expected FileMaker semantics.",Buttons support script/layout actions; button bars support segment configuration.,Button action bindings should execute correct runtime command in browse mode.,src/lib/layout-model.ts:1; src/lib/layout-model.ts:4; src/lib/layout-model.ts:23; src/lib/layout-model.ts:170; src/lib/layout-model.ts:171; src/lib/layout-model.ts:172
LM-014,Layout Mode / Objects,"Panel objects support tab labels, default tab, and panel navigation properties.",Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/tabs-runtime.ts, src/lib/tabs-runtime.ts and align behavior with expected FileMaker semantics.","Panel objects support tab labels, default tab, and panel navigation properties.",Panel config changes should alter browse-mode panel behavior and active tab serialization.,src/lib/tabs-runtime.ts:1; src/lib/tabs-runtime.ts:3; src/lib/tabs-runtime.ts:18; src/lib/tabs-runtime.ts:20; src/lib/tabs-runtime.ts:23; src/lib/tabs-runtime.ts:28
LM-015,Layout Mode / Objects,Popover button and popover panel metadata can be configured in layout mode.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/globals.css, app/globals.css and align behavior with expected FileMaker semantics.",Popover button and popover panel metadata can be configured in layout mode.,Popover config persists and runtime popover opens with expected geometry and title.,app/globals.css:1624; app/globals.css:1681; app/globals.css:1687; app/globals.css:1723; app/globals.css:1821; app/globals.css:1872
LM-016,Layout Mode / Portals,"Portal setup supports rows, sorting, filtering, delete permission, and row state toggles.",Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/portal-utils.ts, src/lib/portal-utils.ts and align behavior with expected FileMaker semantics.","Portal setup supports rows, sorting, filtering, delete permission, and row state toggles.",Portal setup changes should alter browse-mode portal rendering and behavior.,src/lib/portal-utils.ts:1; src/lib/portal-utils.ts:1; src/lib/portal-utils.ts:3; src/lib/portal-utils.ts:5; src/lib/portal-utils.ts:9; src/lib/portal-utils.ts:54
LM-017,Layout Mode / Portals,Related fields are positioned in portal template row and row separator is visible.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/globals.css, app/globals.css and align behavior with expected FileMaker semantics.",Related fields are positioned in portal template row and row separator is visible.,Visual regression for portal layout mode with only native separator/overlay elements.,app/globals.css:1; app/globals.css:239; app/globals.css:256; app/globals.css:340; app/globals.css:596; app/globals.css:629
LM-018,Layout Mode / Workflow,New Layout flow offers template choices and generates reasonable starter layout structures.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/globals.css, app/globals.css and align behavior with expected FileMaker semantics.",New Layout flow offers template choices and generates reasonable starter layout structures.,Template selection should produce expected parts and starter object sets.,app/globals.css:256; app/globals.css:340; src/server/layout-storage.ts:1; src/server/layout-storage.ts:89; src/server/layout-storage.ts:118; src/server/layout-storage.ts:137
LM-019,Layout Mode / Workflow,Copy/paste/duplicate operations preserve style/binding semantics and assign new ids.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/layout-utils.ts, src/lib/layout-utils.ts and align behavior with expected FileMaker semantics.",Copy/paste/duplicate operations preserve style/binding semantics and assign new ids.,Duplicated objects must receive unique ids and retain props except identity.,src/lib/layout-utils.ts:1; src/lib/layout-utils.ts:6; src/lib/layout-utils.ts:11; src/lib/layout-utils.ts:28; src/lib/layout-utils.ts:31; src/lib/layout-utils.ts:32
LM-020,Layout Mode / Workflow,Tab order editing overlays numeric sequence and resolves to deterministic runtime order.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/tab-order.ts, src/lib/tab-order.ts and align behavior with expected FileMaker semantics.",Tab order editing overlays numeric sequence and resolves to deterministic runtime order.,Tab order assignment and runtime traversal tests for hidden/disabled/portal contexts.,src/lib/tab-order.ts:1; src/lib/tab-order.ts:10; src/lib/tab-order.ts:12; src/lib/tab-order.ts:29; src/lib/tab-order.ts:36; src/lib/tab-order.ts:42
PF-001,Performance / Found Sets,Large found sets avoid full in-memory ids and support page-based navigation.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in scripts/bench-perf.mts, scripts/bench-perf.mts and align behavior with expected FileMaker semantics.",Large found sets avoid full in-memory ids and support page-based navigation.,Found set paging benchmarks with synthetic 100k scenarios.,scripts/bench-perf.mts:1; scripts/bench-perf.mts:84; scripts/bench-perf.mts:132; src/lib/runtime-kernel/foundset-store.ts:1; src/lib/runtime-kernel/foundset-store.ts:8; src/lib/runtime-kernel/foundset-store.ts:9
PF-002,Performance / Rendering,List and table rendering use virtualization for large record sets.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/performance/virtual-window.ts, src/lib/performance/virtual-window.ts and align behavior with expected FileMaker semantics.",List and table rendering use virtualization for large record sets.,Virtual window tests for visible range correctness.,src/lib/performance/virtual-window.ts:1; src/lib/performance/virtual-window.ts:1; src/lib/performance/virtual-window.ts:6; src/lib/performance/virtual-window.ts:10; src/lib/performance/virtual-window.ts:39; src/lib/performance/virtual-window.ts:53
PF-003,Performance / Rendering,Portal rows are incrementally rendered/paged for large related sets.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/performance/virtual-window.ts, src/lib/performance/virtual-window.ts and align behavior with expected FileMaker semantics.",Portal rows are incrementally rendered/paged for large related sets.,Portal benchmark tests with high row counts and edit interactions.,src/lib/performance/virtual-window.ts:1; src/lib/performance/virtual-window.ts:1; src/lib/performance/virtual-window.ts:3; src/lib/performance/virtual-window.ts:5; src/lib/performance/virtual-window.ts:10; src/lib/performance/virtual-window.ts:39
PF-004,Performance / Data Access,Repeated identical read requests share cache/in-flight promises.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/server/filemaker-client.ts, src/server/performance/request-cache.ts and align behavior with expected FileMaker semantics.",Repeated identical read requests share cache/in-flight promises.,Request cache tests validating hits/misses and coalescing.,src/server/filemaker-client.ts:1; src/server/performance/request-cache.ts:1; src/server/performance/request-cache.ts:9; src/server/performance/request-cache.ts:10; src/server/performance/request-cache.ts:11; src/server/performance/request-cache.ts:39
PF-005,Performance / Data Access,Transient Data API failures are retried with bounded backoff and circuit state tracking.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/server/filemaker-client.ts, src/server/filemaker-client.ts and align behavior with expected FileMaker semantics.",Transient Data API failures are retried with bounded backoff and circuit state tracking.,Circuit breaker and retry unit tests with transient error simulation.,src/server/filemaker-client.ts:1; src/server/filemaker-client.ts:4; src/server/filemaker-client.ts:81; src/server/filemaker-client.ts:82; src/server/filemaker-client.ts:114; src/server/resilience/circuit-breaker.ts:1
PF-006,Performance / Calc,Calc evaluations are bounded and re-evaluated only when dependencies change.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/fmcalc/index.ts, src/lib/fmcalc/index.ts and align behavior with expected FileMaker semantics.",Calc evaluations are bounded and re-evaluated only when dependencies change.,Calc evaluation count tests after unrelated field edits.,src/lib/fmcalc/index.ts:1; src/lib/fmcalc/index.ts:1; src/lib/fmcalc/index.ts:12; src/lib/fmcalc/index.ts:70; src/lib/fmcalc/index.ts:76; src/lib/fmcalc/index.ts:81
PF-007,Performance / Script,Script runtime avoids unnecessary context rebuilds and reports step timing.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/runtime-kernel/script-engine.ts, src/lib/runtime-kernel/script-engine.ts and align behavior with expected FileMaker semantics.",Script runtime avoids unnecessary context rebuilds and reports step timing.,Advanced script tests and perf metrics validation.,src/lib/runtime-kernel/script-engine.ts:1; src/lib/runtime-kernel/script-engine.ts:7; src/lib/runtime-kernel/script-engine.ts:13; src/lib/runtime-kernel/script-engine.ts:14; src/lib/runtime-kernel/script-engine.ts:15; src/lib/runtime-kernel/script-engine.ts:16
PF-008,Performance / Observability,Developers can correlate UI actions with API and runtime metrics.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in scripts/bench-perf.mts, scripts/bench-perf.mts and align behavior with expected FileMaker semantics.",Developers can correlate UI actions with API and runtime metrics.,Profiler output schema tests and trace-id propagation checks.,scripts/bench-perf.mts:1; scripts/bench-perf.mts:186; src/server/observability.ts:1; src/server/observability.ts:12; src/server/observability.ts:48; src/server/observability.ts:52
PF-009,Performance / Benchmarks,Performance benchmarks are repeatable and can gate CI regressions.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in docs/performance-benchmarks.md, docs/performance-benchmarks.md and align behavior with expected FileMaker semantics.",Performance benchmarks are repeatable and can gate CI regressions.,Benchmark script deterministic output checks.,docs/performance-benchmarks.md:1; docs/performance-benchmarks.md:1; docs/performance-benchmarks.md:6; docs/performance-benchmarks.md:11; docs/performance-benchmarks.md:17; scripts/bench-perf.mts:1
PF-010,Performance / Memory,Long sessions should avoid unbounded growth in cache and diagnostics buffers.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/server/performance/request-cache.ts, src/server/performance/request-cache.ts and align behavior with expected FileMaker semantics.",Long sessions should avoid unbounded growth in cache and diagnostics buffers.,Stress tests with cache eviction assertions.,src/server/performance/request-cache.ts:1; src/server/performance/request-cache.ts:12; src/server/performance/request-cache.ts:17; src/server/performance/request-cache.ts:18; src/server/performance/request-cache.ts:25; src/server/performance/request-cache.ts:26
SC-001,Scripting & Events / Triggers,OnLayoutEnter/OnLayoutExit trigger hooks fire in deterministic order.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/triggers/index.ts, src/lib/triggers/index.ts and align behavior with expected FileMaker semantics.",OnLayoutEnter/OnLayoutExit trigger hooks fire in deterministic order.,Trigger sequencing tests across layout switch scenarios.,src/lib/triggers/index.ts:1; src/lib/triggers/index.ts:1; src/lib/triggers/index.ts:9; src/lib/triggers/index.ts:10; src/lib/triggers/index.ts:13; src/lib/triggers/index.ts:14
SC-002,Scripting & Events / Triggers,OnModeEnter/OnModeExit fire when switching browse/find/preview modes.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/api/admin/config/route.ts, app/api/auth/me/route.ts and align behavior with expected FileMaker semantics.",OnModeEnter/OnModeExit fire when switching browse/find/preview modes.,Mode switch trigger tests with expected history order.,app/api/admin/config/route.ts:22; app/api/auth/me/route.ts:13; app/api/fm/container/route.ts:35; app/api/fm/find/route.ts:3; app/api/health/route.ts:16; src/lib/triggers/index.ts:1
SC-003,Scripting & Events / Triggers,Field focus and edit lifecycle triggers fire with predictable debounce semantics.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in docs/script-triggers.md, docs/script-triggers.md and align behavior with expected FileMaker semantics.",Field focus and edit lifecycle triggers fire with predictable debounce semantics.,Input typing tests with OnObjectModify count and OnObjectExit commit interactions.,docs/script-triggers.md:28; docs/script-triggers.md:29; docs/script-triggers.md:30; scripts/generate-audit-artifacts.mjs:888; src/lib/trigger-policy.ts:1; src/lib/triggers/index.ts:1
SC-004,Scripting & Events / Triggers,OnRecordCommitRequest can cancel commit before persistence.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/trigger-policy.ts, src/lib/trigger-policy.ts and align behavior with expected FileMaker semantics.",OnRecordCommitRequest can cancel commit before persistence.,Commit request policy tests for veto and allow paths.,src/lib/trigger-policy.ts:1; src/lib/trigger-policy.ts:4; src/lib/trigger-policy.ts:9; src/lib/trigger-policy.ts:11; src/lib/trigger-policy.ts:19; src/lib/trigger-policy.ts:22
SC-005,Scripting & Events / Engine,Nested Perform Script calls preserve local $ vars per frame and shared $$ globals.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/runtime-kernel/script-engine.ts, src/lib/runtime-kernel/script-engine.ts and align behavior with expected FileMaker semantics.",Nested Perform Script calls preserve local $ vars per frame and shared $$ globals.,Nested script tests verifying scope isolation and return semantics.,src/lib/runtime-kernel/script-engine.ts:1; src/lib/runtime-kernel/script-engine.ts:139; src/lib/runtime-kernel/script-engine.ts:143; src/lib/runtime-kernel/script-engine.ts:212; src/lib/runtime-kernel/script-engine.ts:216; src/lib/runtime-kernel/variable-store.ts:1
SC-006,Scripting & Events / Engine,"Common script steps (go to layout, set field, commit, find, loop) execute deterministically.",Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/runtime-kernel/script-engine-advanced.test.mts, src/lib/runtime-kernel/script-engine-advanced.test.mts and align behavior with expected FileMaker semantics.","Common script steps (go to layout, set field, commit, find, loop) execute deterministically.",Script engine fixture tests for common step sequences and control flow.,src/lib/runtime-kernel/script-engine-advanced.test.mts:1; src/lib/runtime-kernel/script-engine-advanced.test.mts:105; src/lib/runtime-kernel/script-engine-advanced.test.mts:176; src/lib/runtime-kernel/script-engine-advanced.test.mts:180; src/lib/runtime-kernel/script-engine-advanced.test.mts:187; src/lib/runtime-kernel/script-engine.ts:1
SC-007,Scripting & Events / Engine,Set Error Capture controls halt/continue behavior and updates last error/message state.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/runtime-kernel/script-engine-advanced.test.mts, src/lib/runtime-kernel/script-engine-advanced.test.mts and align behavior with expected FileMaker semantics.",Set Error Capture controls halt/continue behavior and updates last error/message state.,Error capture tests with failing actions and nested scripts.,src/lib/runtime-kernel/script-engine-advanced.test.mts:1; src/lib/runtime-kernel/script-engine-advanced.test.mts:117; src/lib/runtime-kernel/script-engine-advanced.test.mts:275; src/lib/runtime-kernel/script-engine-advanced.test.mts:282; src/lib/runtime-kernel/script-engine-advanced.test.mts:283; src/lib/runtime-kernel/script-engine.ts:1
SC-008,Scripting & Events / Engine,Script-level transaction begin/commit/revert semantics stage and apply operations predictably.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/runtime-kernel/script-engine.ts, src/lib/runtime-kernel/script-engine.ts and align behavior with expected FileMaker semantics.",Script-level transaction begin/commit/revert semantics stage and apply operations predictably.,Transaction manager tests for partial failure rollback behavior.,src/lib/runtime-kernel/script-engine.ts:1; src/lib/runtime-kernel/script-engine.ts:273; src/lib/runtime-kernel/script-engine.ts:279; src/lib/runtime-kernel/script-engine.ts:283; src/lib/runtime-kernel/script-engine.ts:288; src/lib/runtime-kernel/transaction-manager.ts:1
SC-009,Scripting & Events / Engine,Unsupported local steps can bridge to server script execution with result propagation.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/api/fm/capabilities/route.ts, app/api/fm/scripts/route.ts and align behavior with expected FileMaker semantics.",Unsupported local steps can bridge to server script execution with result propagation.,Script execution route tests for runtime fallback to /api/fm/scripts.,app/api/fm/capabilities/route.ts:22; app/api/fm/scripts/route.ts:1; app/api/fm/scripts/route.ts:6; app/api/fm/scripts/route.ts:33; app/api/fm/scripts/route.ts:42; app/api/fm/scripts/route.ts:72
SC-010,Scripting & Events / Debugger,Debugger supports stepping and call-stack inspection in dev workflows.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in docs/script-engine-advanced.md, docs/script-engine-advanced.md and align behavior with expected FileMaker semantics.",Debugger supports stepping and call-stack inspection in dev workflows.,Debug-step tests confirm deterministic advancement and state snapshots.,docs/script-engine-advanced.md:1; docs/script-engine-advanced.md:1; docs/script-engine-advanced.md:7; docs/script-engine-advanced.md:8; docs/script-engine-advanced.md:10; docs/script-engine-advanced.md:12
SC-011,Scripting & Events / Debugger,Data Viewer displays current values and watch expressions in runtime context.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in app/globals.css, app/globals.css and align behavior with expected FileMaker semantics.",Data Viewer displays current values and watch expressions in runtime context.,Data viewer tests for expression evaluation against current context.,app/globals.css:3447; app/globals.css:5345; app/globals.css:5353; app/globals.css:5370; docs/app-layer-parity-matrix.md:36; docs/script-triggers.md:1
SC-012,Scripting & Events / Integration,UI actions route to configured scripts with parameters and context.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/app-layer-menu.test.mts, src/lib/app-layer-menu.test.mts and align behavior with expected FileMaker semantics.",UI actions route to configured scripts with parameters and context.,Action dispatch tests for button/menu commands with parameter passing.,src/lib/app-layer-menu.test.mts:1; src/lib/app-layer-menu.test.mts:17; src/lib/app-layer-menu.test.mts:28; src/lib/app-layer-menu.test.mts:40; src/lib/app-layer-menu.test.mts:43; src/lib/app-layer-menu.test.mts:44
SC-013,Scripting & Events / Integration,Developers can see trigger firing order and outcomes in debug tools.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in docs/find-mode.md, docs/fmcalc-lite.md and align behavior with expected FileMaker semantics.",Developers can see trigger firing order and outcomes in debug tools.,Debug snapshot tests include ordered trigger history and outcomes.,docs/find-mode.md:61; docs/fmcalc-lite.md:104; docs/foundset.md:24; docs/layout-fidelity.md:63; docs/phase-17-summary.md:34; src/lib/triggers/triggers.test.mts:1
SC-014,Scripting & Events / Integration,Plugin SDK can register custom script steps with validation and isolated failures.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/plugins/manager.ts, src/plugins/manager.ts and align behavior with expected FileMaker semantics.",Plugin SDK can register custom script steps with validation and isolated failures.,Plugin SDK tests for custom step registration and execution isolation.,src/plugins/manager.ts:1; src/plugins/manager.ts:1; src/plugins/manager.ts:2; src/plugins/manager.ts:4; src/plugins/manager.ts:5; src/plugins/plugin-sdk.test.mts:1
SC-015,Scripting & Events / Integration,Script context resolves active window/layout/record correctly in multi-window sessions.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/lib/runtime-kernel/context-stack.ts, src/lib/runtime-kernel/context-stack.ts and align behavior with expected FileMaker semantics.",Script context resolves active window/layout/record correctly in multi-window sessions.,Kernel tests for script context in focused and card windows.,src/lib/runtime-kernel/context-stack.ts:1; src/lib/runtime-kernel/context-stack.ts:1; src/lib/runtime-kernel/context-stack.ts:3; src/lib/runtime-kernel/context-stack.ts:5; src/lib/runtime-kernel/context-stack.ts:9; src/lib/runtime-kernel/kernel.ts:1
SE-001,Security / Auth,API requests derive authenticated user/role context before executing privileged actions.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in middleware.ts, middleware.ts and align behavior with expected FileMaker semantics.",API requests derive authenticated user/role context before executing privileged actions.,Request guard tests for authenticated and unauthenticated API calls.,middleware.ts:1; middleware.ts:6; middleware.ts:50; middleware.ts:84; middleware.ts:111; src/server/security/request-context.ts:1
SE-002,Security / Auth,Deployment can use trusted-header SSO or JWT modes without client secrets.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/server/security/jwt.ts, src/server/security/jwt.ts and align behavior with expected FileMaker semantics.",Deployment can use trusted-header SSO or JWT modes without client secrets.,Security hardening tests for JWT validation and trusted-header mode.,src/server/security/jwt.ts:1; src/server/security/jwt.ts:3; src/server/security/jwt.ts:9; src/server/security/jwt.ts:22; src/server/security/jwt.ts:25; src/server/security/middleware-auth.ts:1
SE-003,Security / Auth,Mutating API calls require valid CSRF cookie/header pairs when enabled.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in src/server/security/csrf.ts, src/server/security/csrf.ts and align behavior with expected FileMaker semantics.",Mutating API calls require valid CSRF cookie/header pairs when enabled.,CSRF mismatch tests return 403 with guidance.,src/server/security/csrf.ts:1; src/server/security/csrf.ts:20; src/server/security/csrf.ts:33; src/server/security/csrf.ts:34; src/server/security/csrf.ts:36; src/server/security/request-context.ts:1
SE-004,Security / Auth,Request bursts are controlled and users receive retry guidance when throttled.,Implemented,Capability evidence is strong; recommend hardening/regression coverage to prevent drift.,S,Low,"Extend existing implementation paths in middleware.ts, middleware.ts and align behavior with expected FileMaker semantics.",Request bursts are controlled and users receive retry guidance when throttled.,Middleware rate-limit tests for 429 responses and retry-after headers.,middleware.ts:1; middleware.ts:63; middleware.ts:68; middleware.ts:69; middleware.ts:72; src/server/security/rate-limit.ts:1
